#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
67108864 283846.929669 257751.520723 231565.538794 232913.829386 245254.028589 231708.198786 216730.048880 223130.820319 225486.759096 248475.050554 229117.950425 234827.220440 226302.459836 256442.479789 245123.440400 234822.111204 283730.620518 257015.340030 231811.778620 232921.840623 245250.139385 231912.730262 216949.319467 223149.269819 225468.888879 248460.691422 229109.350592 234816.450626 226044.740528 256408.160552 245340.019464 234084.140509 289097.700268 233716.499060 238964.209333 236231.779680 237630.400807 230437.159538 222788.630053 252349.510789 239882.620052 230438.869447 235644.038767 259488.509968 238994.909450 230536.729097 235690.319911 258725.490421 289179.850370 233530.489728 238419.789821 236216.001213 237041.298300 230528.129265 222785.539925 253142.040223 239654.740319 230414.209887 236193.180084 259290.440008 238807.728514 230714.239180 236177.520826 259289.370850 
67108864 273601.220921 259799.569845 237488.400191 241784.390062 254980.409518 239081.431180 224459.810182 231382.289901 227351.220325 252261.649817 240855.999291 233653.789386 228229.399770 262114.459649 252328.379080 233640.549704 273499.609903 259058.030322 237743.780017 241792.120039 255001.559854 239256.920293 224644.951522 231390.919536 227315.340191 252259.679139 240844.819695 233648.799360 227978.380397 262114.951387 252552.570775 232902.070507 280168.799683 230964.530259 242417.011410 240652.659908 243019.530550 227474.110201 228061.070666 257273.949683 247282.320634 232561.441138 219870.310277 276448.149234 249549.970031 232402.289286 220254.100859 275692.630559 280320.959166 230771.439150 241869.950667 240644.611418 242426.428944 227549.429983 228075.340390 258059.589192 247085.221112 232526.039705 220430.869609 276256.009936 249360.200018 232573.740184 220790.341496 276257.820427 
67108864 250897.869468 235865.769908 209847.729653 211210.099980 223855.450749 206318.559125 204193.770885 201057.368889 203838.299960 226851.429790 212350.109592 208738.168702 205981.118605 237370.669842 231773.160398 208729.440346 250830.309466 235130.479559 210088.528693 211191.469803 223863.940686 206482.470036 204414.909706 201082.440093 203805.770725 226824.648678 212363.529950 208724.310622 205720.940605 237352.048978 231982.260942 207987.220958 260854.380205 214679.149911 231025.610119 209100.410342 211529.040709 209125.850350 199974.149466 219488.630071 217815.449461 207882.899791 215186.160058 263877.250254 217257.590964 208008.300513 215133.680031 263107.450679 261023.839936 214483.089745 230465.291068 209074.240178 210939.560086 209221.689031 199964.109808 220289.709046 217586.528510 207869.499922 215679.349378 263680.508360 217057.749629 208176.489919 215674.808249 263692.980632 
67108864 273060.398176 246023.599058 246123.779565 228497.279808 234097.311273 216826.260090 228207.631037 219399.619848 211181.920022 240090.720356 230981.800705 220108.080655 212382.849306 246069.259942 247527.528554 220099.668950 272987.181321 245299.490169 246353.929862 228496.808559 234086.360782 216999.219730 228419.790044 219398.789108 211162.090302 240083.351731 230978.960171 220106.098801 212127.018720 246032.031253 247749.578208 219359.029084 276026.370004 221145.439893 251697.380096 223454.579711 225401.841104 217923.259363 228691.458702 236327.020451 231290.981174 223895.778880 212758.349255 259600.020945 232944.490388 223973.410204 212764.790282 258904.369548 276267.079636 220951.780677 251160.148531 223451.361060 224814.500660 218020.679429 228685.978800 237104.469910 231137.290597 223867.978901 213307.509199 259461.240843 232761.070132 224140.269682 213293.340057 259480.519220 
67108864 269631.180912 252476.509660 244158.070534 234915.031120 237076.170743 224625.689909 230221.290141 224307.158962 215895.950794 241555.681452 239541.970193 218714.909628 217878.129333 253724.418581 256336.869672 218702.718616 269566.060975 251671.809703 244384.421036 234924.590215 237100.239843 224797.880277 230450.030416 224303.560331 215881.710872 241535.108536 239542.439580 218690.630049 217623.529956 253682.969138 256542.831659 217955.030501 272357.881069 222614.429891 246431.060135 219192.879274 232143.219560 219629.591331 223701.549694 236042.661592 231119.019911 212998.030707 221993.910149 270204.279572 231297.509745 213115.621358 222530.990839 269424.170256 272476.479411 222409.030423 245890.021324 219173.310325 231555.091217 219772.400334 223697.490990 236783.869565 230905.000120 212970.839813 222543.189302 269990.770146 231106.420979 213287.228718 222952.300683 270023.830235 
67108864 270913.159475 244815.841317 245301.989838 237262.979150 241411.069408 224794.419482 231804.100797 226778.529584 218497.790396 238340.009004 230000.769719 223138.319328 219303.200021 228868.069127 249894.801527 223131.459206 270831.961185 244069.449604 245512.299240 237282.790244 241442.460567 224968.791008 232051.890343 226771.799847 218488.469720 238326.421008 229992.588982 223131.518811 219061.190262 228881.191462 250106.349587 222405.869514 273920.791224 228266.499937 250400.179997 219587.821513 226620.079949 225180.478767 221790.140495 230632.090941 224617.909640 224923.700094 235037.820414 283767.079934 224905.621260 224904.280156 235374.789685 283030.409366 273860.229179 228067.319840 249878.479168 219568.371773 226068.489254 225377.960131 221782.529727 231352.299452 224395.679310 224887.710065 235564.751551 283550.690860 224737.290293 225144.600496 235901.890323 283590.069041 
67108864 264701.470733 258893.139660 230095.939711 233711.570501 247975.839302 226144.211367 221205.309033 223598.629236 222230.199724 246028.959751 229806.149378 226841.349155 224183.069542 262712.730095 249810.079113 226833.419874 264593.170956 258130.379021 230294.361711 233718.249947 247963.679954 226325.489581 221412.660554 223611.639813 222220.649943 246013.980359 229808.140546 226843.761280 223929.818720 262694.889680 250028.649345 226088.080555 277965.210378 225981.850177 248072.579503 221778.910607 236902.950332 222073.819488 218503.139913 242441.600189 234642.740339 228178.899735 218466.170132 259399.259463 235409.229994 228062.808514 218538.440764 258718.280122 278196.088970 225783.120841 247537.270188 221768.509597 236290.600151 222164.949402 218509.100378 243188.710883 234420.699999 228141.680360 219016.140327 259279.040620 235219.968483 228225.599974 218998.109922 259309.459478 
67108864 262261.500582 250685.280189 239497.389644 221807.459369 230254.560709 213281.661272 221109.000966 211890.341714 217386.489734 236640.309915 224627.800286 210865.378380 219461.169094 256211.400032 244360.700250 210849.998519 262186.730281 249927.381054 239710.390568 221790.930256 230273.889378 213458.068669 221336.070448 211901.959032 217374.520376 236628.571525 224639.588967 210856.709629 219200.259075 256184.739992 244568.530470 210117.300972 267398.629338 216601.010412 242430.290207 216072.879732 217838.250101 213377.950713 215166.470036 232032.369822 223369.870335 213116.509840 206748.818979 255759.140477 224126.558751 213172.851130 207416.968420 254998.398945 267506.349832 216415.859759 241909.960285 216058.060527 217241.268605 213477.859274 215182.110667 232786.949724 223151.160404 213090.181351 207302.659750 255564.229563 223950.140178 213351.130486 207896.310836 255584.659055 
67108864 280333.030969 265844.289213 259224.560112 244989.369065 247705.429792 233674.289659 241381.019354 234807.020053 233638.599515 253593.521193 245832.471177 227096.660063 235729.100183 268816.789612 262738.589197 227078.929543 280237.620696 265080.040321 259445.149451 245004.689321 247739.840299 233846.411109 241613.959894 234808.109701 233626.170084 253581.129014 245838.759467 227092.310786 235469.659790 268811.220303 262952.629477 226343.870163 290456.259623 230959.780514 254406.370223 228214.109316 237698.070705 227690.920234 230511.439964 249602.999538 242912.059650 226694.511250 227326.789871 276210.080832 243396.310136 226516.380906 227921.510115 275443.959981 290594.879538 230771.269649 253864.390776 228202.139959 237092.338502 227781.409398 230509.420857 250352.190807 242698.559538 226658.269763 227883.569896 276000.520214 243195.449933 226676.089689 228456.439450 276025.610045 
67108864 263076.590374 244793.610647 233030.660078 228382.959962 233947.299421 219012.569636 214992.070571 216927.420348 213425.599039 243322.929367 233677.150682 221310.719848 214329.710230 246316.008270 244830.410928 221304.509789 263006.130233 244022.250175 233247.250319 228378.940374 233959.179372 219181.340188 215237.589553 216947.570443 213413.029909 243309.291080 233691.859990 221301.648766 214067.939669 246295.090765 245050.778612 220557.469875 272978.449240 222398.329526 229385.789484 211639.160290 220991.598442 216688.759625 212691.320106 228327.339515 230193.778872 216168.770567 213735.871017 256700.959057 230980.049819 216208.830476 213746.929541 255948.590115 273126.989603 222206.540406 228869.929910 211628.951132 220387.820154 216796.539724 212689.191103 229064.669460 229989.960790 216131.370515 214293.271303 256503.140554 230809.550732 216386.249289 214268.868789 256518.470123 
