highest
13259
12200
10809
759659
40090
10699
9220
8990
9130
9029
8950
8869
8369
8590
8299
8290
8310
8380
8380
8529
8190
8649
8869
9019
8449
9149
8950
8710
8809
8769
9039
8339
8319
8319
8769
8420
8250
8880
8350
8590
8999
8509
8420
8789
8750
8619
8819
8410
8829
8319
8800
8330
8899
8800
8990
8659
8829
8560
8939
8420
8929
8840
8790
8860
8970
9039
9200
8520
8650
8820
8920
8950
8699
8630
8910
8850
8870
8750
8789
8820
8739
9039
8719
8950
8869
8469
8690
8319
8830
8529
8380
8820
8680
8509
9119
8540
8830
8390
8349
8750
Average runtime: 0.000017
