collective_type,array_dim,buffer_size,algo_name,datatype,mean,median,std,min,max,nnodes,n_iter,percentile_10,percentile_25,percentile_75,percentile_90,iqr,standard_error,ci_lower,ci_upper,num_outliers,system,timestamp,test_id,MPI_Op,CUDA,notes,mpi_lib,mpi_lib_version,libswing_version
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-65536-2,int32,791581.59,748830.0,271021.463446847,737360,3104900,64x64,100,742520.0,745831.75,752129.0,756458.0,6297.25,27102.146344684697,738461.3831644179,844701.796835582,8,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-L-UTOFU-4096-1,int32,637781.25,633795.0,13830.468574761839,630449,709200,64x64,100,631879.0,632505.0,635092.5,644864.9,2587.5,1383.046857476184,635070.4781593467,640492.0218406533,14,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,8,32,SWING-L-UTOFU-0-4,int32,107405.59,106679.5,6788.30398344212,97809,140440,64x64,100,99209.9,104126.75,110109.25,114354.1,5982.5,678.830398344212,106075.08241924534,108736.09758075465,6,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-1048576-1,int32,32546675.71,32548824.0,22792.70281697476,32484459,32592430,64x64,100,32509390.0,32541336.5,32558291.5,32572582.0,16955.0,2279.270281697476,32542208.340247873,32551143.07975213,16,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,SWING-B_CONT-UTOFU-0-2,int32,17831966.3,17591064.0,743420.4200817029,17262119,19434640,64x64,10,17286653.9,17364439.75,17747804.0,18980841.1,383364.25,235090.17865373607,17371189.549838677,18292743.050161324,2,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,RECDOUB-B_CONT-UTOFU-4096-1,int32,35364289.3,35387899.0,189825.84011611508,35018900,35581359,64x64,10,35123758.1,35259256.75,35519024.0,35570217.9,259767.25,60028.201352188524,35246634.02534971,35481944.57465029,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,default-trix6,int32,12812695.2,12811084.0,24186.66652333701,12764989,12848069,64x64,10,12794689.0,12800182.25,12827196.75,12842570.0,27014.5,7648.495522069103,12797704.148776744,12827686.251223255,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,64,256,default-nonoverlapping,int32,164469.98,89129.5,606901.8691303051,86510,5990240,64x64,100,87488.0,88036.5,91956.5,95456.1,3920.0,60690.18691303051,45517.21365046021,283422.74634953984,8,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-65536-6,int32,2100672.42,1732525.0,1371510.3323323405,1352589,8449489,64x64,100,1361139.9,1481752.25,1826957.5,2632146.9000000074,345205.25,137151.03323323405,1831856.3948628611,2369488.4451371385,14,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,134217728,536870912,default-rdbc,int32,75337320.4,75339775.0,41960.44362703733,75262069,75394879,64x64,10,75292633.9,75310424.0,75361264.25,75390991.0,50840.25,13269.05734925348,75311313.04759547,75363327.75240454,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-B_CONT-UTOFU-4096-1,int32,364996.69,272625.0,439864.28290520597,239510,3377929,64x64,100,250682.0,257031.75,328469.75,426141.0,71438.0,43986.4282905206,278783.29055057967,451210.08944942034,9,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-0-6,int32,1659039.99,1338219.5,954951.9583470778,1317779,8179219,64x64,100,1323724.9,1326405.0,1693457.25,1829220.1,367052.25,95495.19583470779,1471869.4061639728,1846210.5738360272,5,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,default-trix6,int32,4777644.55,4776269.5,11625.703460740375,4752809,4813990,64x64,100,4765864.1,4769107.5,4782567.25,4792567.9,13459.75,1162.5703460740374,4775365.912121695,4779923.187878305,5,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,RECDOUB-B_CONT-UTOFU-0-1,int32,298339.68,296359.5,12059.41264117374,284510,359760,64x64,100,288861.1,292362.5,300116.75,304869.00000000006,7754.25,1205.941264117374,295976.03512232995,300703.32487767003,9,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,SWING-L-UTOFU-1048576-2,int32,219250361.4,219333924.5,2888050.8553495305,215135420,225099269,64x64,10,215513662.1,217628440.0,220507271.5,221375078.0,2878831.5,913281.8701301999,217460328.9345448,221040393.8654552,1,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,1,4,default-rdbc,int32,131569.64,114909.5,157496.45460729924,104670,1688450,64x64,100,106887.1,108774.0,119571.75,125334.0,10797.75,15749.645460729924,100700.33489696936,162438.94510303065,5,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,4096,16384,default-recursive_doubling,int32,165808.85,160464.5,13834.073635813533,152039,212240,64x64,100,153859.0,156629.75,168161.75,186987.0,11532.0,1383.4073635813534,163097.37156738056,168520.32843261946,12,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,default-rdbc,int32,13130892.7,13129095.0,13219.676958988066,13112320,13149779,64x64,10,13112815.0,13123537.5,13142466.75,13146494.0,18929.25,4180.428912205061,13122699.059332076,13139086.340667922,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,default-nonoverlapping,int32,1578486.86,1570535.0,31800.697779657785,1553620,1816029,64x64,100,1561553.0,1565234.25,1579004.0,1598176.0,13769.75,3180.0697779657785,1572253.923235187,1584719.7967648131,9,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-L-UTOFU-65536-4,int32,3382855.55,3380719.0,51164.030560338906,3291660,3551810,64x64,100,3319815.0,3345934.75,3414699.0,3446298.9,68764.25,5116.403056033891,3372827.400010173,3392883.6999898264,1,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-65536-4,int32,27107620.72,27131304.5,425573.0478670733,26138610,28017110,64x64,100,26572950.0,26802107.25,27427564.0,27653631.9,625456.75,42557.30478670733,27024208.40261805,27191033.037381947,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-B_CONT-UTOFU-0-4,int32,1260182.17,965010.0,1167622.2680457858,947969,9979819,64x64,100,953612.0,956876.5,1264442.25,1404399.0,307565.75,116762.22680457859,1031328.205463026,1489036.134536974,4,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-65536-2,int32,27497751.17,27349644.5,484971.02314849506,26721559,29068870,64x64,100,26960468.1,27195627.5,27799612.25,28054977.1,603984.75,48497.10231484951,27402696.849462897,27592805.490537107,3,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-B_CONT-UTOFU-65536-1,int32,331053.15,294809.5,196740.31733474782,281069,1900030,64x64,100,288529.1,290409.25,301157.25,313786.00000000006,10748.0,19674.03173347478,292492.0478023895,369614.25219761056,10,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,RECDOUB-B_CONT-UTOFU-1048576-1,int32,28335635.2,28332184.0,69400.47956734721,28235279,28448140,64x64,10,28251362.9,28294224.0,28391684.0,28412517.1,97460.0,21946.358614079414,28292620.337116405,28378650.062883593,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-4096-1,int32,821785.3,748334.5,416072.6011499518,669640,4146099,64x64,100,701946.0,719412.5,788862.5,849402.9000000001,69450.0,41607.26011499518,740235.0701746095,903335.5298253905,7,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
