collective_type,array_dim,buffer_size,algo_name,datatype,mean,median,std,min,max,nnodes,n_iter,percentile_10,percentile_25,percentile_75,percentile_90,iqr,standard_error,ci_lower,ci_upper,num_outliers,system,timestamp,test_id,MPI_Op,CUDA,notes,mpi_lib,mpi_lib_version,libswing_version
ALLREDUCE,16777216,67108864,SWING-B_CONT-UTOFU-4096-3,int32,14517644.7,14280510.0,809881.1515444103,14064500,16795480,2x2x2,10,14091580.1,14213381.5,14406015.0,14677519.0,192633.5,256106.90729203302,14015675.161707614,15019614.238292385,1,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-65536-1,int32,397627.41,391939.0,23867.70591909292,382420,524430,2x2x2,100,385069.0,387286.75,396374.0,408248.10000000003,9087.25,2386.7705919092923,392949.33963985776,402305.4803601422,10,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,512,2048,default-default,int32,13101.4,12854.0,982.9097906551019,12089,19710,2x2x2,100,12508.1,12659.0,13149.25,13693.000000000002,490.25,98.29097906551019,12908.749681031599,13294.0503189684,9,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-4096-3,int32,2382934.53,2378874.5,40338.29269471309,2266630,2504080,2x2x2,100,2366147.0,2374271.5,2382156.75,2401669.9,7885.25,4033.829269471309,2375028.224631836,2390840.8353681634,19,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-65536-1,int32,4247711.19,4247280.0,2947.5776210682257,4242249,4257279,2x2x2,100,4244652.0,4245667.25,4249244.75,4251907.9,3577.5,294.75776210682255,4247133.464786271,4248288.91521373,3,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-recursive_doubling,int32,118309.18,118135.0,1169.9442046611462,116580,122440,2x2x2,100,117149.0,117609.75,118640.0,119959.0,1030.25,116.99442046611462,118079.87093588641,118538.48906411357,9,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-nonoverlapping,int32,175119.89,174774.0,2816.413023885366,172189,201010,2x2x2,100,173652.1,174199.0,175422.25,176122.9,1223.25,281.6413023885366,174567.87304731848,175671.90695268154,4,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,default-trix3,int32,1302319.77,1301565.0,5029.860589780423,1292499,1314090,2x2x2,100,1296107.0,1299009.0,1305804.25,1309498.0,6795.25,502.98605897804225,1301333.917324403,1303305.622675597,0,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-L-UTOFU-0-3,int32,332333.73,333169.0,7065.319293870832,300849,345509,2x2x2,100,330164.0,331017.25,334866.75,336538.1,3849.5,706.5319293870832,330948.9274184013,333718.5325815987,10,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,SWING-B_CONT-UTOFU-65536-6,int32,10140923.9,10088445.0,150298.91746076476,10018150,10477700,2x2x2,10,10023613.0,10034204.25,10185690.0,10323422.0,151485.75,47528.690903366754,10047767.665829401,10234080.1341706,1,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,8,32,default-basic_linear,int32,38319.63,21849.5,152020.52865005945,20579,1541189,2x2x2,100,21129.9,21470.0,22302.25,23183.9,832.25,15202.052865005946,8523.606384588344,68115.65361541165,9,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,4096,16384,SWING-B_CONT-UTOFU-0-6,int32,319308.15,313719.5,50731.01855834525,303300,818519,2x2x2,100,307722.1,310684.25,317264.0,321530.0,6579.75,5073.101855834525,309364.87036256434,329251.4296374357,5,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-L-UTOFU-4096-1,int32,118867.91,115239.0,14580.919458125521,113530,216179,2x2x2,100,114271.0,114465.0,115986.75,116773.0,1521.75,1458.0919458125522,116010.0497862074,121725.77021379261,9,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-1048576-1,int32,4247523.93,4247035.0,2799.0353001011117,4242039,4255120,2x2x2,100,4244677.0,4245542.25,4248742.25,4251830.9,3200.0,279.9035300101112,4246975.31908118,4248072.54091882,5,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,default-trix6,int32,27680131.4,27712785.0,98931.27601544642,27399110,27717039,2x2x2,10,27665546.0,27709619.0,27714371.5,27715581.0,4752.5,31284.8164035598,27618813.15984902,27741449.640150975,2,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,64,256,default-nonoverlapping,int32,17413.21,17004.5,2207.8269598742277,15489,31749,2x2x2,100,16314.9,16634.0,17434.75,17859.0,800.75,220.78269598742276,16980.475915864652,17845.944084135346,5,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-65536-6,int32,388152.11,387795.0,6819.219484788356,371809,406079,2x2x2,100,379052.1,383420.0,391677.25,396726.9,8257.25,681.9219484788356,386815.54298098147,389488.6770190185,2,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,64,256,SWING-B_CONT-UTOFU-0-3,int32,180452.25,179849.0,4820.821034006468,172910,192449,2x2x2,100,174637.1,176725.0,182969.0,187350.1,6244.0,482.0821034006468,179507.36907733473,181397.13092266527,2,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,134217728,536870912,default-rdbc,int32,1450532809.6,1450421294.5,1003462.806112602,1449319540,1452517169,2x2x2,10,1449625386.1,1449705592.5,1451158034.25,1451535962.9,1452441.75,317322.8014579755,1449910856.9091423,1451154762.2908576,0,fugaku,2025_03_26___19_49_06,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
