#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
8388608 50123.510882 50122.668967 50122.929737 50122.808665 50123.719499 50122.700632 50123.021007 50122.780725 50122.849643 50122.510642 50121.460110 50122.970715 50122.659653 50122.389570 50123.170018 50122.000277 50123.339519 50122.730434 50122.620538 50122.840330 50123.039633 50123.460591 50122.629851 50122.730434 50123.360008 50122.849643 50123.030320 50122.739747 50123.360008 50123.130903 50122.320652 50123.279914 50123.138353 50123.630092 50122.490153 50123.160705 50122.359768 50123.838708 50122.899935 50122.629851 50122.918561 50122.179091 50122.590736 50122.650340 50123.039633 50122.911111 50123.050809 50121.719018 50122.950226 50122.870132 50122.559071 50121.949986 50122.540444 50122.480839 50121.959299 50122.510642 50122.540444 50122.210756 50121.959299 50121.888518 50122.609362 50122.329965 50122.318789 50122.439861 
8388608 51056.100056 51056.269556 51057.349890 51055.880263 51058.039069 51056.910306 51056.150347 51056.331024 51056.310534 51056.550816 51055.509597 51056.720316 51056.759432 51056.290045 51055.980846 51056.070253 51056.839526 51056.349650 51056.951284 51056.468859 51056.571305 51057.090983 51055.749878 51056.120545 51057.578996 51056.791097 51055.898890 51056.319848 51056.541502 51056.399941 51056.109369 51056.349650 51056.740806 51058.130339 51056.049764 51056.681201 51056.750119 51057.869568 51056.360826 51056.459546 51056.411117 51055.870950 51055.841148 51055.630669 51056.729630 51057.271659 51056.100056 51055.850461 51056.860015 51057.208329 51056.860015 51056.688651 51056.278870 51056.351513 51057.001576 51056.720316 51056.019962 51056.060940 51055.839285 51056.159660 51057.050005 51056.960598 51056.280732 51055.479795 
8388608 50182.679668 50182.748586 50182.819366 50182.590261 50183.240324 50181.999803 50182.759762 50182.361156 50182.560459 50182.588398 50181.899220 50182.579085 50182.240084 50182.539970 50182.560459 50182.430074 50183.070824 50182.091072 50183.299929 50182.560459 50182.679668 50182.780251 50181.800500 50182.379782 50183.789805 50182.469189 50183.361396 50181.688741 50182.670355 50182.098523 50182.221457 50183.748826 50182.379782 50182.629377 50182.390958 50182.139501 50181.949511 50182.601437 50181.940198 50181.940198 50182.349980 50181.681290 50181.768835 50181.530416 50181.958824 50182.169303 50182.109699 50182.480365 50182.988867 50182.400271 50182.549283 50182.510167 50181.848928 50181.850791 50182.240084 50182.439387 50182.180479 50181.489438 50181.841478 50182.539970 50181.880593 50181.809813 50182.359293 50182.430074 
8388608 50132.870674 50132.580101 50133.619457 50132.190809 50134.219229 50131.971017 50132.879987 50132.520497 50133.069977 50132.660195 50132.399425 50132.650882 50132.520497 50132.749602 50132.429227 50131.769851 50133.140758 50132.470205 50132.490695 50132.568926 50132.960081 50132.749602 50131.510943 50132.289529 50133.440644 50132.930279 50132.740289 50131.838769 50132.760778 50131.989643 50132.239237 50133.649260 50132.770091 50132.820383 50132.209435 50132.689998 50132.969394 50133.189186 50132.609904 50132.401288 50132.701173 50131.630152 50131.758675 50132.179633 50132.589415 50133.021548 50131.920725 50132.440403 50132.650882 50133.019686 50132.060423 50132.039934 50132.280216 50132.298842 50132.440403 50132.058561 50132.749602 50132.120028 50132.099539 50132.529810 50132.799894 50132.131204 50131.838769 50132.330507 
8388608 50108.868629 50108.740106 50109.330565 50108.019263 50109.699368 50108.559430 50108.660012 50108.319148 50109.060481 50108.460709 50107.730553 50108.559430 50108.660012 50108.950585 50108.419731 50108.259544 50108.309835 50108.509138 50108.499825 50108.460709 50108.680502 50109.369680 50107.831135 50108.060241 50109.799951 50108.680502 50108.870491 50107.730553 50108.930096 50108.080730 50108.820200 50109.699368 50109.399483 50109.541044 50108.339638 50108.429044 50108.570606 50109.289587 50108.850002 50108.481199 50108.550116 50108.680502 50107.929856 50107.970834 50108.520314 50108.520314 50108.740106 50108.561292 50108.930096 50109.039992 50108.520314 50108.300522 50108.190626 50107.991323 50108.740106 50107.900053 50108.259544 50108.911470 50107.680261 50108.019263 50108.239055 50108.509138 50107.790157 50108.239055 
8388608 50195.610151 50195.740536 50195.720047 50194.879994 50196.669996 50194.760785 50195.571035 50195.030868 50195.250660 50195.571035 50194.811076 50195.630640 50195.179880 50195.179880 50195.379183 50195.010379 50195.230171 50194.999203 50195.500255 50195.720047 50195.239484 50195.280463 50195.140764 50195.500255 50196.638331 50195.649266 50195.699558 50195.001066 50195.751712 50195.081159 50195.690244 50196.908414 50195.509568 50196.090713 50195.401534 50195.479766 50195.351243 50195.941702 50195.300952 50195.058808 50194.760785 50194.580108 50195.218995 50194.369629 50194.630399 50195.779651 50195.569173 50195.079297 50195.388496 50195.500255 50195.079297 50194.909796 50194.740295 50194.719806 50195.189193 50195.179880 50195.150077 50194.850191 50194.529817 50195.019692 50194.989890 50194.850191 50195.099786 50195.220858 
8388608 50124.479458 50124.298781 50124.788657 50123.790279 50125.090405 50124.101341 50124.200061 50123.730674 50124.758855 50124.431029 50123.348832 50124.621019 50124.788657 50124.738365 50123.950467 50123.859197 50124.669448 50124.589354 50124.621019 50124.850124 50125.030801 50124.539062 50123.510882 50123.920664 50125.109032 50124.760717 50124.211237 50123.861060 50124.989823 50124.539062 50124.190748 50125.138834 50124.850124 50125.669688 50124.071538 50124.639645 50124.259666 50124.788657 50123.730674 50123.799592 50124.520436 50123.879686 50123.639405 50123.360008 50124.181435 50124.678761 50124.149770 50124.170259 50124.481320 50124.758855 50124.078989 50123.440102 50123.689696 50124.371424 50123.959780 50124.110654 50123.959780 50123.909488 50123.838708 50123.739988 50124.280155 50123.829395 50124.408677 50124.289468 
8388608 50139.619038 50139.179453 50139.930099 50139.309838 50140.541047 50139.110535 50139.339641 50138.538703 50139.181316 50138.900056 50138.700753 50140.069798 50139.291212 50139.719620 50138.579682 50138.570368 50139.879808 50139.410421 50139.350817 50139.259547 50139.760599 50139.969215 50139.119849 50139.049068 50140.568987 50139.300525 50139.430910 50138.890743 50139.399245 50138.788298 50139.259547 50140.140578 50139.550120 50140.079111 50139.149651 50139.099360 50139.280036 50140.321255 50138.860941 50139.209256 50139.779225 50139.151514 50138.810650 50138.799474 50139.250234 50140.030682 50139.371306 50139.119849 50139.239058 50139.540806 50139.220431 50139.019266 50139.190629 50138.819963 50138.870254 50139.209256 50139.181316 50138.741732 50138.380378 50139.280036 50139.399245 50139.619038 50139.270723 50139.339641 
8388608 50139.710307 50139.639527 50139.710307 50139.270723 50140.909851 50139.389932 50140.200183 50139.000639 50139.319152 50139.099360 50139.220431 50139.660016 50139.749423 50139.330328 50139.060244 50139.291212 50140.179694 50139.488652 50139.609724 50139.479339 50139.950588 50139.490515 50138.911232 50139.229745 50140.909851 50139.501691 50139.900297 50139.321014 50139.460713 50139.000639 50139.779225 50140.520558 50139.809027 50140.330568 50139.149651 50139.309838 50139.499828 50140.779465 50139.080733 50139.158964 50139.550120 50138.879567 50138.559192 50138.421357 50139.268860 50140.030682 50139.458850 50139.250234 50139.538944 50139.850006 50139.000639 50138.808787 50139.240921 50139.408559 50139.259547 50139.591098 50139.119849 50139.840692 50138.341263 50139.160827 50139.769912 50139.490515 50139.190629 50139.520317 
8388608 50129.599869 50129.609182 50129.279494 50128.638744 50130.050629 50128.620118 50129.180774 50129.109994 50129.190087 50128.700212 50128.560513 50129.618496 50129.050389 50128.830597 50129.109994 50129.160285 50129.480660 50129.180774 50129.329786 50129.091367 50129.659474 50129.629672 50128.730014 50129.400566 50129.950047 50128.979608 50129.549578 50129.439682 50129.450858 50128.860399 50128.700212 50130.140036 50129.380077 50129.920244 50128.800794 50129.089504 50129.199401 50130.130723 50129.059702 50128.180534 50129.489973 50128.959119 50128.240138 50128.780305 50128.851086 50129.299983 50128.901377 50129.070878 50130.179152 50129.480660 50129.059702 50128.579140 50128.970295 50129.098818 50128.940493 50128.979608 50129.199401 50129.130483 50128.679723 50128.530711 50129.080191 50129.329786 50128.750503 50128.910691 
