collective_type,array_dim,buffer_size,algo_name,datatype,mean,median,std,min,max,nnodes,n_iter,percentile_10,percentile_25,percentile_75,percentile_90,iqr,standard_error,ci_lower,ci_upper,num_outliers,system,timestamp,test_id,MPI_Op,CUDA,notes,mpi_lib,mpi_lib_version,libswing_version
ALLREDUCE,16777216,67108864,SWING-B_CONT-UTOFU-4096-3,int32,19325774.5,19133289.5,917778.6152724354,18037910,21208209,8x8x8,10,18395290.1,18760920.0,19759094.25,20246865.0,998174.25,290227.0812056292,18756929.420836966,19894619.579163034,0,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-65536-1,int32,682762.56,663504.0,116837.14584661089,610739,1433799,8x8x8,100,634097.9,650022.25,673840.0,700767.1,23817.75,11683.71458466109,659862.4794140643,705662.6405859358,10,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,512,2048,default-default,int32,43311.19,41464.5,4697.051621308023,39860,60169,8x8x8,100,40558.0,40810.0,42686.5,50549.1,1876.5,469.70516213080225,42390.56788222363,44231.812117776375,16,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-4096-3,int32,8698863.2,8712285.0,235925.84594209882,7839570,9237759,8x8x8,100,8464147.0,8573009.25,8842122.5,9005932.0,269113.25,23592.584594209882,8652621.734195348,8745104.66580465,3,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-65536-1,int32,13953902.78,13960709.5,21858.578046934785,13900249,13980789,8x8x8,100,13905557.1,13951374.25,13965511.5,13973767.9,14137.25,2185.8578046934786,13949618.4987028,13958187.061297199,14,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-recursive_doubling,int32,572813.02,572994.5,1907.2774132016273,564889,577269,8x8x8,100,570442.0,571854.75,574001.75,574876.9,2147.0,190.72774132016272,572439.1936270125,573186.8463729875,3,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-0-4,int32,846748.03,820844.0,136508.99543930273,807709,1877829,8x8x8,100,812845.1,816189.25,827601.75,835137.1,11412.5,13650.899543930273,819992.2668938967,873503.7931061033,4,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-nonoverlapping,int32,412184.67,411484.5,3677.859022720977,406640,435349,8x8x8,100,408727.1,409874.25,413749.75,415244.0,3875.5,367.7859022720977,411463.80963154667,412905.5303684533,2,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-0-2,int32,653417.0,630474.0,137011.740704248,617909,1712139,8x8x8,100,622725.9,625912.25,634115.0,637769.0,8202.75,13701.174070424799,626562.6988219674,680271.3011780326,4,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,default-trix3,int32,1991686.8,1992119.5,8763.133085532108,1974650,2020500,8x8x8,100,1980426.0,1985256.75,1997386.5,2001390.0,12129.75,876.3133085532108,1989969.2259152357,1993404.3740847644,1,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-L-UTOFU-0-3,int32,1163001.48,1171689.0,30412.40002170832,1075169,1212839,8x8x8,100,1114033.1,1139169.75,1183500.0,1195139.1,44330.25,3041.2400021708318,1157040.6495957451,1168962.3104042548,0,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,SWING-B_CONT-UTOFU-65536-6,int32,11221032.2,11699639.0,1371025.7542422428,8584009,12320400,8x8x8,10,8727118.0,11570706.5,11956351.5,12194706.0,385645.0,433556.41141557466,10371261.633625474,12070802.766374525,2,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,8,32,default-basic_linear,int32,2788519.13,1583589.5,10820781.01340539,1317840,109821490,8x8x8,100,1544624.0,1560296.5,1801181.5,1888829.0,240885.0,1082078.101340539,667646.0513725434,4909392.208627457,3,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,4096,16384,SWING-B_CONT-UTOFU-0-6,int32,1031577.33,1000305.0,132486.60327830634,989340,2042859,8x8x8,100,993938.1,996372.5,1004631.5,1020200.0,8259.0,13248.660327830634,1005609.955757452,1057544.704242548,11,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-65536-2,int32,652163.73,626074.5,150199.96474786437,615139,1805659,8x8x8,100,621158.0,623104.75,630272.25,635873.1,7167.5,15019.996474786438,622724.5369094185,681602.9230905814,7,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-L-UTOFU-4096-1,int32,369655.95,363680.0,15479.58616781365,358629,431439,8x8x8,100,361068.9,362254.75,367019.25,394225.0,4764.5,1547.958616781365,366621.95111110853,372689.9488888915,17,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,2097152,8388608,SWING-L-UTOFU-1048576-1,int32,13961028.02,13957999.5,16389.94706543242,13947119,14099339,8x8x8,100,13950629.1,13953594.25,13964111.75,13971269.0,10517.5,1638.994706543242,13957815.590375176,13964240.449624823,6,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,default-trix6,int32,9206420.5,9200774.0,23630.303149651812,9165850,9254090,8x8x8,10,9186865.0,9198111.5,9215270.0,9231085.1,17158.5,7472.557975315041,9191774.286368383,9221066.713631617,2,fugaku,2025_03_27___04_01_47,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
