#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) Rank16Time(us) Rank17Time(us) Rank18Time(us) Rank19Time(us) Rank20Time(us) Rank21Time(us) Rank22Time(us) Rank23Time(us) Rank24Time(us) Rank25Time(us) Rank26Time(us) Rank27Time(us) Rank28Time(us) Rank29Time(us) Rank30Time(us) Rank31Time(us) Rank32Time(us) Rank33Time(us) Rank34Time(us) Rank35Time(us) Rank36Time(us) Rank37Time(us) Rank38Time(us) Rank39Time(us) Rank40Time(us) Rank41Time(us) Rank42Time(us) Rank43Time(us) Rank44Time(us) Rank45Time(us) Rank46Time(us) Rank47Time(us) Rank48Time(us) Rank49Time(us) Rank50Time(us) Rank51Time(us) Rank52Time(us) Rank53Time(us) Rank54Time(us) Rank55Time(us) Rank56Time(us) Rank57Time(us) Rank58Time(us) Rank59Time(us) Rank60Time(us) Rank61Time(us) Rank62Time(us) Rank63Time(us) 
67108864 22779.500112 22784.169763 22778.861225 22786.680609 22772.079334 22772.481665 22799.089551 22799.979895 22369.299084 22364.290431 22357.000038 22360.058501 22368.179634 22368.621081 22361.788899 22362.479940 22782.638669 22783.821449 22775.499150 22785.911337 22775.979713 22776.719183 22803.291678 22807.201371 22369.600832 22371.169180 22358.341143 22358.858958 22372.240201 22370.889783 22368.850186 22369.470447 22679.530084 22683.020681 22682.180628 22689.070553 22682.989016 22680.679336 22683.529183 22685.550153 22343.240678 22342.478856 22114.388645 22118.249908 22350.238636 22349.130362 22111.320868 22113.058716 22684.540600 22684.769705 22677.740082 22684.659809 22678.488865 22680.290043 22682.070732 22684.838623 22339.699790 22339.200601 22112.300619 22112.140432 22345.390171 22343.490273 22105.759010 22108.919919 
67108864 20815.391093 20819.531754 21749.140695 21721.130237 20748.311654 20750.490949 21755.130962 21722.830832 21612.880751 21613.940597 21384.198219 21385.440603 21620.169282 21622.519940 21479.250863 21477.140486 20816.039294 20819.460973 21750.539541 21722.940728 20745.171234 20743.709058 21758.461371 21720.690653 21608.211100 21611.329168 21380.240098 21380.381659 21618.820727 21619.159728 21478.239447 21473.228931 22097.751498 22105.300799 22265.879437 22269.161418 22102.279589 22102.769464 22269.390523 22265.288979 21961.418912 21964.350715 22146.919742 22146.040574 21965.820342 21967.448294 22146.109492 22143.369541 21775.970235 21783.569828 22196.350619 22197.509184 21778.469905 21787.200123 22197.630256 22197.488695 21716.579795 21722.180769 21817.618981 21812.889725 21717.829630 21721.808240 21819.150075 21814.940497 
67108864 22508.790717 22515.950724 22575.929761 22576.620802 22512.299940 22520.840168 22579.651326 22578.720003 22315.960377 22316.319868 22249.529138 22245.690227 22315.088660 22313.959897 22251.550108 22246.601060 22581.938654 22588.260472 22330.759093 22327.549756 22585.200146 22588.480264 22338.001058 22330.570966 22434.569895 22439.150140 22113.418207 22110.410035 22433.448583 22438.539192 22113.939747 22110.600024 21711.070091 21720.739082 21846.428514 21844.509989 21719.750017 21719.360724 21849.729121 21848.229691 21716.849878 21555.779502 21657.530218 21727.429703 21508.490667 21508.909762 21513.171494 21512.478590 21351.819858 21356.111392 21496.441215 21499.589086 21354.120225 21361.818537 21504.580975 21505.208686 21552.210674 21553.410217 21652.650088 21648.818627 21505.938843 21506.009623 21511.938423 21507.410333 
67108864 21778.890863 21781.731397 21331.759170 21331.720054 21629.860625 21633.651108 21245.511249 21262.889728 21342.560649 21339.550614 21057.209000 21418.228745 21522.229537 21522.779018 21060.379222 21416.660398 21787.188947 21784.430370 21336.300299 21337.298676 21632.941440 21632.149816 21247.349679 21261.090413 21344.710141 21345.369518 21058.399230 21418.688819 21524.198353 21527.938545 21057.911217 21415.680647 21673.951298 21679.420024 21108.560264 21395.979449 21623.440087 21625.880152 21097.380668 21398.289129 21751.038730 21754.030138 21358.270198 21484.000608 21915.279329 21917.661652 21421.799436 21480.839700 21669.030190 21674.349904 21112.069488 21395.109594 21617.690101 21619.860083 21099.660546 21399.609745 21744.960919 21749.069914 21358.590573 21483.110264 21910.399199 21909.989417 21422.071382 21480.510011 
67108864 22809.609771 22795.321420 22688.619792 22809.490561 22816.220298 22798.631340 22694.829851 22812.079638 22531.080991 22287.530825 22572.651505 22866.830230 22525.750101 22284.790874 22569.820285 22864.900529 22809.959948 22793.719545 22688.919678 22810.859606 22816.460580 22800.929844 22695.491090 22813.560441 22529.359907 22289.060056 22572.260350 22868.400440 22528.970614 22287.279367 22567.080334 22864.669561 22799.970582 22796.768695 22775.050253 22816.400975 22806.169465 22799.471393 22781.709209 22818.440571 22460.050881 22224.020213 22574.059665 22827.239707 22431.790829 22193.120793 22570.811212 22823.799402 22798.620164 22796.399891 22775.489837 22816.190496 22804.310545 22796.899080 22782.200947 22818.049416 22459.300235 22223.319858 22571.569309 22826.099768 22432.669997 22217.690945 22569.019347 22822.489962 
67108864 22880.060598 22886.179388 22500.019521 22495.299578 22881.088778 22885.158658 22500.248626 22493.850440 22035.770118 22036.820650 21943.129599 21935.800090 22034.291178 22035.649046 21944.120526 21941.239014 22893.579677 22901.648656 22521.249950 22518.740967 22895.010188 22898.629308 22524.740547 22519.899532 22042.119876 22047.309205 21960.219368 21959.010512 22047.890350 22047.229111 21962.029859 21962.661296 21806.370467 21814.120933 22347.681224 22347.150370 21806.510165 21810.211241 22348.729894 22346.211597 22100.409493 22101.460025 22343.911231 22342.009470 22103.961557 22106.410936 22345.690057 22345.280275 21793.790162 21801.760420 22341.489792 22341.219708 21794.781089 21800.709888 22343.911231 22337.401286 22090.500221 22093.359381 22342.478856 22339.070216 22090.129554 22096.509114 22343.950346 22341.109812 
67108864 21345.619112 21346.960217 21551.940590 21556.029096 21353.809163 21352.179348 21567.970514 21567.789838 21036.880091 21038.759500 20938.800648 20940.508693 21032.949910 21031.249315 20871.089771 20873.690024 21346.488968 21343.329921 21547.760814 21552.208811 21357.709542 21350.720897 21564.289927 21565.360948 21039.571613 21041.831002 20943.250507 20945.290104 21037.109196 21034.689620 20867.059007 20868.750289 21282.630041 21283.119917 21254.189312 21258.670837 21289.849654 21286.161616 21266.739815 21269.330755 21031.649783 21028.209478 20933.391526 20933.710039 21030.981094 21029.440686 20902.430639 20905.239508 21277.680993 21281.110123 21248.299628 21255.260333 21283.200011 21280.931309 21267.980337 21264.661103 21028.790623 21026.339382 20926.460624 20928.921178 21025.510505 21023.200825 20906.271413 20907.189697 
67108864 21462.019533 21579.949185 21560.629830 21454.399452 21667.169407 21447.740495 21439.209580 21674.631163 21665.720269 21444.449201 21591.238678 21670.740098 21459.469572 21575.849503 21591.529250 21593.060344 20711.980760 20702.250302 20752.470940 20810.941234 20718.529820 20764.600486 20759.340376 20813.409239 20912.360400 20815.748721 20999.381319 20936.260000 20911.760628 20751.720294 20999.349654 20801.069215 20879.231393 21030.269563 21026.499569 20939.750597 20905.679092 20903.719589 20745.810121 20937.619731 21066.078916 21059.600636 21010.590717 21010.950208 20931.059495 21033.838391 21033.339202 20824.249834 21458.359435 21579.699591 21559.169516 21451.769397 21666.770801 21445.970982 21438.950673 21673.088893 21664.381027 21441.619843 21435.290575 21671.758965 21461.779252 21574.599668 21560.549736 21446.719766 
67108864 21447.340026 21448.729560 21587.749943 21588.640288 21292.829886 21291.330457 20708.220080 20697.779953 20992.390811 20987.050608 21003.570408 21006.399766 21358.350292 21357.549354 21238.299087 21236.861125 21441.049874 21442.750469 21583.238617 21585.790440 21287.210286 21291.600540 20713.649690 20711.509511 20970.329642 20970.769227 20991.960540 20992.219448 21354.150027 21354.639903 21234.329790 21230.239421 21594.580263 21599.059924 21393.019706 21395.640448 21298.389882 21300.200373 20665.289834 20660.899580 20847.329870 20845.409483 20839.070901 20837.889984 21302.418783 21301.930770 21219.560876 21221.129224 21598.419175 21600.389853 21398.169920 21399.591118 21301.621571 21308.301017 20668.439567 20665.060729 20864.859223 20861.741155 20848.479122 20855.609328 21306.939423 21303.771064 21222.559735 21223.269403 
67108864 22452.590987 22453.490645 22711.269557 22718.859836 22397.449240 22394.500673 22674.521431 22675.100714 22037.209943 22032.139823 21948.440000 21948.060021 22225.281224 22226.000205 22215.301171 22209.169343 22447.248921 22448.329255 22708.870471 22711.910307 22392.520681 22394.901142 22672.850639 22673.688829 22035.870701 22035.660222 21943.250671 21946.700290 22229.719907 22227.650508 22206.168622 22206.671536 22456.390783 22454.190999 22547.120228 22551.599890 22413.659841 22411.080077 22488.869727 22490.430623 21893.121302 21890.770644 22001.430392 22001.409903 21712.869406 21711.479872 21861.759946 21864.339709 22460.419685 22456.239909 22549.828514 22555.829957 22417.759523 22415.459156 22494.241595 22491.959855 21898.608655 21896.118298 22004.671395 22005.049512 21715.190262 21713.471040 21867.670119 21865.660325 
