Sending 8192 bytes to 64 at step 0
Sending 4096 bytes to 1 at step 1
Sending 2048 bytes to 4032 at step 2
Sending 1024 bytes to 63 at step 3
Sending 512 bytes to 192 at step 4
Sending 256 bytes to 3 at step 5
Sending 128 bytes to 3776 at step 6
Sending 64 bytes to 59 at step 7
Sending 32 bytes to 704 at step 8
Sending 16 bytes to 11 at step 9
Sending 8 bytes to 2752 at step 10
Sending 4 bytes to 43 at step 11
Sending 8192 bytes to 64 at step 0
Sending 4096 bytes to 1 at step 1
Sending 2048 bytes to 4032 at step 2
Sending 1024 bytes to 63 at step 3
Sending 512 bytes to 192 at step 4
Sending 256 bytes to 3 at step 5
Sending 128 bytes to 3776 at step 6
Sending 64 bytes to 59 at step 7
Sending 32 bytes to 704 at step 8
Sending 16 bytes to 11 at step 9
Sending 8 bytes to 2752 at step 10
Sending 4 bytes to 43 at step 11
Sending 8192 bytes to 64 at step 0
Sending 4096 bytes to 1 at step 1
Sending 2048 bytes to 4032 at step 2
Sending 1024 bytes to 63 at step 3
Sending 512 bytes to 192 at step 4
Sending 256 bytes to 3 at step 5
Sending 128 bytes to 3776 at step 6
Sending 64 bytes to 59 at step 7
Sending 32 bytes to 704 at step 8
Sending 16 bytes to 11 at step 9
Sending 8 bytes to 2752 at step 10
Sending 4 bytes to 43 at step 11
Sending 8192 bytes to 64 at step 0
Sending 4096 bytes to 1 at step 1
Sending 2048 bytes to 4032 at step 2
Sending 1024 bytes to 63 at step 3
Sending 512 bytes to 192 at step 4
Sending 256 bytes to 3 at step 5
Sending 128 bytes to 3776 at step 6
Sending 64 bytes to 59 at step 7
Sending 32 bytes to 704 at step 8
Sending 16 bytes to 11 at step 9
Sending 8 bytes to 2752 at step 10
Sending 4 bytes to 43 at step 11
Sending 8192 bytes to 64 at step 0
Sending 4096 bytes to 1 at step 1
Sending 2048 bytes to 4032 at step 2
Sending 1024 bytes to 63 at step 3
Sending 512 bytes to 192 at step 4
Sending 256 bytes to 3 at step 5
Sending 128 bytes to 3776 at step 6
Sending 64 bytes to 59 at step 7
Sending 32 bytes to 704 at step 8
Sending 16 bytes to 11 at step 9
Sending 8 bytes to 2752 at step 10
Sending 4 bytes to 43 at step 11
Sending 8192 bytes to 64 at step 0
Sending 4096 bytes to 1 at step 1
Sending 2048 bytes to 4032 at step 2
Sending 1024 bytes to 63 at step 3
Sending 512 bytes to 192 at step 4
Sending 256 bytes to 3 at step 5
Sending 128 bytes to 3776 at step 6
Sending 64 bytes to 59 at step 7
Sending 32 bytes to 704 at step 8
Sending 16 bytes to 11 at step 9
Sending 8 bytes to 2752 at step 10
Sending 4 bytes to 43 at step 11
Sending 8192 bytes to 64 at step 0
Sending 4096 bytes to 1 at step 1
Sending 2048 bytes to 4032 at step 2
Sending 1024 bytes to 63 at step 3
Sending 512 bytes to 192 at step 4
Sending 256 bytes to 3 at step 5
Sending 128 bytes to 3776 at step 6
Sending 64 bytes to 59 at step 7
