Timer [== swing_coll_step_utofu (wait isends)]: 49 us | Start: 1725472008185367 End: 1725472008185416
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008185416 End: 1725472008185420
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008183628 End: 1725472008183629
Timer [== swing_coll_step_utofu (indexes calc)]: 19 us | Start: 1725472008183629 End: 1725472008183648
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008183648 End: 1725472008183654
Timer [== swing_coll_step_utofu (sends)]: 16 us | Start: 1725472008183654 End: 1725472008183670
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 18 us | Start: 1725472008183670 End: 1725472008183688
Timer [== swing_coll_step_utofu (recv + aggregate)]: 1867 us | Start: 1725472008183688 End: 1725472008185555
Timer [== swing_coll_step_utofu (wait isends)]: 8 us | Start: 1725472008185555 End: 1725472008185563
Timer [== swing_coll_step_utofu (profile writing)]: 3 us | Start: 1725472008185563 End: 1725472008185566
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008183563 End: 1725472008183564
Timer [== swing_coll_step_utofu (indexes calc)]: 29 us | Start: 1725472008183564 End: 1725472008183593
Timer [== swing_coll_step_utofu (misc)]: 17 us | Start: 1725472008183593 End: 1725472008183610
Timer [== swing_coll_step_utofu (sends)]: 11 us | Start: 1725472008183610 End: 1725472008183621
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 44 us | Start: 1725472008183621 End: 1725472008183665
Timer [== swing_coll_step_utofu (recv + aggregate)]: 3019 us | Start: 1725472008183665 End: 1725472008186684
Timer [== swing_coll_step_utofu (wait isends)]: 8 us | Start: 1725472008186684 End: 1725472008186692
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008186692 End: 1725472008186696
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 2 us | Start: 1725472008181420 End: 1725472008181422
Timer [== swing_coll_step_utofu (indexes calc)]: 20 us | Start: 1725472008181422 End: 1725472008181442
Timer [== swing_coll_step_utofu (misc)]: 9 us | Start: 1725472008181442 End: 1725472008181451
Timer [== swing_coll_step_utofu (sends)]: 13 us | Start: 1725472008181451 End: 1725472008181464
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 14 us | Start: 1725472008181464 End: 1725472008181478
Timer [== swing_coll_step_utofu (recv + aggregate)]: 5270 us | Start: 1725472008181478 End: 1725472008186748
Timer [== swing_coll_step_utofu (wait isends)]: 7 us | Start: 1725472008186748 End: 1725472008186755
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008186755 End: 1725472008186759
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008183584 End: 1725472008183585
Timer [== swing_coll_step_utofu (indexes calc)]: 25 us | Start: 1725472008183585 End: 1725472008183610
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008183610 End: 1725472008183616
Timer [== swing_coll_step_utofu (sends)]: 9 us | Start: 1725472008183616 End: 1725472008183625
