collective_type,array_dim,buffer_size,algo_name,datatype,mean,median,std,min,max,nnodes,n_iter,percentile_10,percentile_25,percentile_75,percentile_90,iqr,standard_error,ci_lower,ci_upper,num_outliers,system,timestamp,test_id,MPI_Op,CUDA,notes,mpi_lib,mpi_lib_version,libswing_version
ALLREDUCE,16777216,67108864,SWING-B_CONT-UTOFU-65536-2,int32,17507397.5,17193164.0,823709.8583213834,16947390,19706449,32x256,10,17019912.0,17104185.0,17600829.0,18005836.9,496644.0,260479.92834301712,16996856.840447687,18017938.159552313,1,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,512,2048,RECDOUB-L-UTOFU-0-4,int32,186744.76,185580.0,8278.562987242252,176670,242420,32x256,100,180981.9,183742.25,187902.25,190222.9,4160.0,827.8562987242252,185122.16165450052,188367.3583454995,8,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-65536-1,int32,785410.31,747314.0,189378.01691084617,718889,2340620,32x256,100,728735.9,734342.25,774919.0,794737.1,40576.75,18937.801691084616,748292.2186854742,822528.4013145259,5,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,512,2048,default-default,int32,107974.94,105520.0,6274.820731183071,100899,135009,32x256,100,103237.9,103876.75,109927.5,115114.90000000001,6050.75,627.4820731183071,106745.07513668812,109204.80486331189,8,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,RECDOUB-L-UTOFU-0-4,int32,7051076.13,7047034.5,140687.62288712323,6766609,7393129,32x256,100,6875838.0,6933001.5,7139990.0,7236176.0,206988.5,14068.762288712323,7023501.355914123,7078650.904085876,0,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-recursive_doubling,int32,1304950.86,1303289.5,13973.090451581598,1278630,1336419,32x256,100,1287001.0,1295629.0,1313039.75,1327029.1,17410.75,1397.3090451581597,1302212.1342714902,1307689.58572851,0,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-0-4,int32,1652908.47,1557109.5,533317.3510934768,1131720,6166159,32x256,100,1357590.9,1461046.75,1625784.0,2173226.0,164737.25,53331.735109347675,1548378.2691856786,1757438.6708143214,23,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-nonoverlapping,int32,1751215.54,1749329.5,6050.999664334628,1742280,1768169,32x256,100,1744176.0,1747027.5,1755256.5,1760939.0,8229.0,605.0999664334628,1750029.5440657905,1752401.5359342096,1,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,RECDOUB-B_CONT-UTOFU-1048576-4,int32,12305475.6,12128244.5,362407.1765033849,11973380,13039440,32x256,10,11983757.0,12072671.75,12527566.75,12758189.1,454895.0,114603.21181413528,12080853.304844294,12530097.895155706,0,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,262144,1048576,SWING-B_CONT-UTOFU-0-2,int32,880890.45,816004.0,367044.1229206006,805119,3403599,32x256,100,808840.0,812836.5,820594.75,825294.0,7758.25,36704.41229206006,808949.8019075622,952831.0980924377,5,fugaku,2025_04_09___17_37_37,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
